method,seed,side,C,source_kind,source_run,raw_steered_source,effect,off_axis_perturbation,steered_off_axis,health_clean,accepted
vjp_mlp_up_shrink,2,+C,22.627416997969522,continuation_certificate,outputs/run_20260828T100104_vjp_mlp_up_shrink_s2_+c22p627416997969522/vjp_mlp_up_shrink.json,outputs/run_20260828T100104_vjp_mlp_up_shrink_s2_+c22p627416997969522/moral_demos.jsonl,3.4865,0.391,0.9127500000000001,True,True
vjp_mlp_up_shrink,2,+C,25.398416831491197,continuation_certificate,outputs/run_20260828T100158_vjp_mlp_up_shrink_s2_+c25p398416831491197/vjp_mlp_up_shrink.json,outputs/run_20260828T100158_vjp_mlp_up_shrink_s2_+c25p398416831491197/moral_demos.jsonl,3.5185,0.5905,1.11375,True,True
vjp_mlp_up_shrink,2,+C,28.508758980490853,continuation_certificate,outputs/run_20260828T094949_vjp_mlp_up_shrink_s2_+c28p50875898049086/vjp_mlp_up_shrink.json,outputs/run_20260828T094949_vjp_mlp_up_shrink_s2_+c28p50875898049086/moral_demos.jsonl,3.07,1.072,1.55575,True,False
vjp_mlp_up_shrink,2,+C,31.582656193758094,continuation_certificate,outputs/run_20260828T095335_vjp_mlp_up_shrink_s2_+c31p582656193758094/vjp_mlp_up_shrink.json,outputs/run_20260828T095335_vjp_mlp_up_shrink_s2_+c31p582656193758094/moral_demos.jsonl,2.6145,1.514,2.067,True,False
vjp_mlp_up_shrink,2,-C,1.5874010519681994,historical_bracket,outputs/run_20260828T025029_vjp_mlp_up_shrink_s2_c1p5874010519681994/vjp_mlp_up_shrink.json,outputs/run_20260828T025029_vjp_mlp_up_shrink_s2_c1p5874010519681994/moral_demos.jsonl,0.40642500000000004,0.07500000000000001,0.7915,True,True
vjp_mlp_up_shrink,2,-C,1.7817974362806785,historical_bracket,outputs/run_20260828T025218_vjp_mlp_up_shrink_s2_c1p7817974362806785/vjp_mlp_up_shrink.json,outputs/run_20260828T025218_vjp_mlp_up_shrink_s2_c1p7817974362806785/moral_demos.jsonl,0.4408975,0.0027474999999999947,0.81975,True,True
vjp_mlp_up_shrink,2,-C,2.0,historical_bracket,outputs/run_20260828T025407_vjp_mlp_up_shrink_s2_c2p0/vjp_mlp_up_shrink.json,outputs/run_20260828T025407_vjp_mlp_up_shrink_s2_c2p0/moral_demos.jsonl,0.354925,0.0005000000000000061,0.83225,True,True
vjp_mlp_up_shrink,2,-C,2.244924096618746,historical_bracket,outputs/run_20260828T025600_vjp_mlp_up_shrink_s2_c2p244924096618746/vjp_mlp_up_shrink.json,outputs/run_20260828T025600_vjp_mlp_up_shrink_s2_c2p244924096618746/moral_demos.jsonl,0.482175,0.044250000000000005,0.79925,True,True
vjp_mlp_up_shrink,2,-C,2.5198420997897464,historical_bracket,outputs/run_20260828T025749_vjp_mlp_up_shrink_s2_c2p5198420997897464/vjp_mlp_up_shrink.json,outputs/run_20260828T025749_vjp_mlp_up_shrink_s2_c2p5198420997897464/moral_demos.jsonl,0.659925,0.027750000000000014,0.80875,True,True
vjp_mlp_up_shrink,2,-C,2.8284271247461903,historical_bracket,outputs/run_20260828T025940_vjp_mlp_up_shrink_s2_c2p8284271247461903/vjp_mlp_up_shrink.json,outputs/run_20260828T025940_vjp_mlp_up_shrink_s2_c2p8284271247461903/moral_demos.jsonl,0.83775,0.04575000000000001,0.812,True,True
