scenario,side,identity,call,sequence_length,position,nonfinal_exact,next_block_exact,gp_coordinates_before,full_coordinates_before,gp_target,full_target,gp_nominal_norm,reference_realized_norm,desired_norm,actual_norm,norm_error,rounding_error_norm,rounding_bound,direction_cosine,zero_reference
syco_bullshit_v2_leg_pnf_01,+C,False,0,55,54,True,True,"[-0.36928823590278625, 0.8414393067359924]","[-0.4025822877883911, 0.7883366942405701]",0.370733380317688,0.7484261989593506,0.5859352350234985,0.6418930292129517,0.6418930888175964,0.6421386003494263,0.000245511531829834,0.016942860558629036,0.0955694392323494,0.9996519088745117,False
syco_bullshit_v2_leg_pnf_01,+C,False,1,1,0,True,True,"[-0.406602680683136, 0.934806227684021]","[-0.1621679961681366, 0.25808119773864746]",0.370733380317688,0.7484261989593506,0.6343530416488647,0.38664665818214417,0.38664665818214417,0.3865978419780731,4.881620407104492e-05,0.014384470880031586,0.08759606629610062,0.9993079900741577,False
syco_bullshit_v2_leg_pnf_01,+C,False,2,1,0,True,True,"[-0.03531785309314728, 1.0872693061828613]","[0.13485850393772125, -0.2867291569709778]",0.370733380317688,0.7484261989593506,0.5532790422439575,0.10967995226383209,0.1096799448132515,0.11207423359155655,0.0023942887783050537,0.018582532182335854,0.10086790472269058,0.9861874580383301,False
syco_bullshit_v2_leg_pnf_01,+C,False,3,1,0,True,True,"[-0.5086020231246948, 1.135809302330017]","[-0.46345388889312744, 0.2464042603969574]",0.370733380317688,0.7484261989593506,0.7466161847114563,0.48166874051094055,0.48166877031326294,0.48200157284736633,0.00033280253410339355,0.017830733209848404,0.09732317924499512,0.9993155002593994,False
syco_bullshit_v2_leg_pnf_01,+C,False,4,1,0,True,True,"[-0.1632615327835083, 0.5742387175559998]","[0.6219874620437622, -0.9481743574142456]",0.370733380317688,0.7484261989593506,0.4106033742427826,0.27174684405326843,0.27174684405326843,0.27174732089042664,4.76837158203125e-07,0.01975036971271038,0.09850213676691055,0.9973588585853577,False
syco_bullshit_v2_leg_pnf_01,+C,False,5,1,0,True,True,"[0.3489263653755188, -0.05675715208053589]","[0.22036486864089966, -0.41583701968193054]",0.370733380317688,0.7484261989593506,0.012949113734066486,0.0379786491394043,0.0379786491394043,0.03951415792107582,0.001535508781671524,0.015224608592689037,0.09212962538003922,0.9235584735870361,False
syco_bullshit_v2_leg_pnf_01,+C,False,6,1,0,True,True,"[-0.15129542350769043, 0.5117084383964539]","[0.3181982636451721, -0.5767284631729126]",0.370733380317688,0.7484261989593506,0.38300222158432007,0.04951186850667,0.04951186850667,0.050799984484910965,0.0012881159782409668,0.015517475083470345,0.09235045313835144,0.9524624943733215,False
syco_bullshit_v2_leg_pnf_01,+C,False,7,1,0,True,True,"[-0.25756874680519104, 0.688469648361206]","[0.558210551738739, -0.7684478163719177]",0.370733380317688,0.7484261989593506,0.4878672659397125,0.1923193484544754,0.1923193335533142,0.19317379593849182,0.0008544623851776123,0.018723132088780403,0.10123835504055023,0.9952918291091919,False
syco_bullshit_v2_leg_pnf_01,+C,False,8,1,0,True,True,"[-0.12494315207004547, 0.29151928424835205]","[0.5191491842269897, -1.0486761331558228]",0.370733380317688,0.7484261989593506,0.2916580140590668,0.270548015832901,0.270548015832901,0.27086564898490906,0.00031763315200805664,0.016558809205889702,0.09107867628335953,0.9981299638748169,False
syco_bullshit_v2_leg_pnf_01,+C,False,9,1,0,True,True,"[0.4266226887702942, -0.5865523815155029]","[0.4034278392791748, -0.9483798146247864]",0.370733380317688,0.7484261989593506,0.23802624642848969,0.20070257782936096,0.20070257782936096,0.20112930238246918,0.00042672455310821533,0.017695194110274315,0.09406586736440659,0.9961237907409668,False
syco_bullshit_v2_leg_pnf_01,+C,False,10,1,0,True,True,"[0.00834239274263382, 0.4361841082572937]","[0.5039875507354736, -0.6107468008995056]",0.370733380317688,0.7484261989593506,0.29587408900260925,0.12255052477121353,0.12255052477121353,0.12325331568717957,0.0007027909159660339,0.01769685186445713,0.09563147276639938,0.9896494150161743,False
syco_bullshit_v2_leg_pnf_01,+C,False,11,1,0,True,True,"[-0.6874338984489441, 0.845957338809967]","[0.46330660581588745, -0.9210659265518188]",0.370733380317688,0.7484261989593506,0.7054829597473145,0.21154570579528809,0.21154570579528809,0.21191394329071045,0.0003682374954223633,0.017013896256685257,0.09818319976329803,0.9967729449272156,False
syco_bullshit_v2_leg_pnf_01,+C,False,12,1,0,True,True,"[-0.2120264619588852, 0.6446107625961304]","[0.17909839749336243, -0.6171857118606567]",0.370733380317688,0.7484261989593506,0.4547439217567444,0.015091551467776299,0.015091550536453724,0.013923540711402893,0.0011680098250508308,0.010660897940397263,0.09803254157304764,0.7328042387962341,False
syco_bullshit_v2_leg_pnf_01,+C,False,13,1,0,True,True,"[0.3201864957809448, -0.06457078456878662]","[0.21777603030204773, -0.7780797481536865]",0.370733380317688,0.7484261989593506,0.005195890087634325,0.08197692036628723,0.08197692036628723,0.08326321840286255,0.0012862980365753174,0.015023362822830677,0.08801399916410446,0.9835879802703857,False
syco_bullshit_v2_leg_pnf_01,+C,False,14,1,0,True,True,"[-0.2380913347005844, 0.7190718650817871]","[0.03549671918153763, -0.4070216417312622]",0.370733380317688,0.7484261989593506,0.49198904633522034,0.10260027647018433,0.10260027647018433,0.10372089594602585,0.0011206194758415222,0.0182731244713068,0.10338959842920303,0.9843704700469971,False
