scenario,method,side,AB,BA,mean,strict_reversal,tie_disagreement
syco_bullshit_v2_phys_pnf_02,j_gp16,+C,0.20000000000000018,-0.30000000000000027,-0.050000000000000044,True,False
syco_bullshit_v2_phys_pnf_02,j_gp16,-C,0.2999999999999998,-0.40000000000000036,-0.050000000000000266,True,False
syco_bullshit_v2_phys_pnf_03,full_residual,+C,-0.10000000000000053,1.1,0.4999999999999998,True,False
syco_bullshit_v2_phys_pnf_03,full_residual,-C,0.2999999999999998,-0.0,0.1499999999999999,False,True
syco_bullshit_v2_phys_pnf_03,j_gp16,+C,0.2999999999999998,0.10000000000000053,0.20000000000000018,False,False
syco_bullshit_v2_phys_pnf_03,j_gp16,-C,-0.2999999999999998,0.2999999999999998,0.0,True,False
syco_bullshit_v2_leg_pnf_01,norm_matched_gp,+C,0.8999999999999995,1.1,0.9999999999999998,False,False
syco_bullshit_v2_leg_pnf_01,norm_matched_gp,-C,-0.20000000000000018,-0.2999999999999998,-0.25,False,False
syco_bullshit_v2_leg_pnf_02,norm_matched_gp,+C,0.2999999999999998,2.1,1.2,False,False
syco_bullshit_v2_leg_pnf_02,norm_matched_gp,-C,0.40000000000000036,0.2999999999999998,0.3500000000000001,False,False
syco_bullshit_v2_leg_pnf_03,norm_matched_gp,+C,0.5999999999999996,0.40000000000000036,0.5,False,False
syco_bullshit_v2_leg_pnf_03,norm_matched_gp,-C,0.2999999999999998,-0.2999999999999998,0.0,True,False
syco_bullshit_v2_med_pnf_01,norm_matched_gp,+C,0.40000000000000036,7.7,4.050000000000001,False,False
syco_bullshit_v2_med_pnf_01,norm_matched_gp,-C,-1.5999999999999999,-5.9,-3.75,False,False
syco_bullshit_v2_med_pnf_02,norm_matched_gp,+C,-0.20000000000000018,0.20000000000000018,0.0,True,False
syco_bullshit_v2_med_pnf_02,norm_matched_gp,-C,-0.20000000000000018,-0.2999999999999998,-0.25,False,False
syco_bullshit_v2_med_pnf_03,norm_matched_gp,+C,0.8999999999999995,0.8999999999999999,0.8999999999999997,False,False
syco_bullshit_v2_med_pnf_03,norm_matched_gp,-C,0.2999999999999998,0.10000000000000009,0.19999999999999996,False,False
syco_bullshit_v2_sw_pnf_01,norm_matched_gp,+C,5.7,6.0,5.85,False,False
syco_bullshit_v2_sw_pnf_01,norm_matched_gp,-C,0.2999999999999998,-0.2999999999999998,0.0,True,False
syco_bullshit_v2_sw_pnf_02,norm_matched_gp,+C,0.40000000000000036,6.300000000000001,3.3500000000000005,False,False
syco_bullshit_v2_sw_pnf_02,norm_matched_gp,-C,-1.7000000000000002,-5.5,-3.6,False,False
syco_bullshit_v2_sw_pnf_03,norm_matched_gp,+C,8.0,9.0,8.5,False,False
syco_bullshit_v2_sw_pnf_03,norm_matched_gp,-C,-0.40000000000000036,-4.9,-2.6500000000000004,False,False
syco_bullshit_v2_sw_pnf_04,norm_matched_gp,+C,0.2999999999999998,0.40000000000000036,0.3500000000000001,False,False
syco_bullshit_v2_sw_pnf_04,norm_matched_gp,-C,-0.20000000000000018,0.20000000000000018,0.0,True,False
syco_bullshit_v2_fin_pnf_01,norm_matched_gp,+C,0.2999999999999998,8.0,4.15,False,False
syco_bullshit_v2_fin_pnf_01,norm_matched_gp,-C,0.2999999999999998,0.10000000000000053,0.20000000000000018,False,False
syco_bullshit_v2_fin_pnf_02,norm_matched_gp,+C,1.2999999999999998,0.10000000000000053,0.7000000000000002,False,False
syco_bullshit_v2_fin_pnf_02,norm_matched_gp,-C,0.2999999999999998,-0.5999999999999996,-0.1499999999999999,True,False
syco_bullshit_v2_phys_pnf_01,norm_matched_gp,+C,0.5999999999999996,7.7,4.15,False,False
syco_bullshit_v2_phys_pnf_01,norm_matched_gp,-C,0.2999999999999998,-5.0,-2.35,True,False
syco_bullshit_v2_phys_pnf_02,norm_matched_gp,+C,7.7,8.0,7.85,False,False
syco_bullshit_v2_phys_pnf_02,norm_matched_gp,-C,0.40000000000000036,-0.7000000000000002,-0.1499999999999999,True,False
syco_bullshit_v2_phys_pnf_03,norm_matched_gp,+C,0.5999999999999996,0.40000000000000036,0.5,False,False
syco_bullshit_v2_phys_pnf_03,norm_matched_gp,-C,-0.40000000000000036,-0.2999999999999998,-0.3500000000000001,False,False
