scenario,side,identity,call,sequence_length,position,nonfinal_exact,next_block_exact,signed_alpha,desired_norm,actual_norm,norm_error,rounding_error_norm,rounding_bound,direction_cosine
syco_bullshit_v2_leg_pnf_01,+C,False,0,55,54,True,True,4.0,2.8864548206329346,2.8872437477111816,0.0007889270782470703,0.01914835534989834,0.13064071536064148,0.9999780654907227
syco_bullshit_v2_leg_pnf_01,+C,False,1,1,0,True,True,4.0,2.8864548206329346,2.8868701457977295,0.0004153251647949219,0.020197518169879913,0.12665556371212006,0.9999754428863525
syco_bullshit_v2_leg_pnf_01,+C,False,2,1,0,True,True,4.0,2.8864548206329346,2.8848650455474854,0.0015897750854492188,0.02286488562822342,0.14425501227378845,0.9999687671661377
syco_bullshit_v2_leg_pnf_01,+C,False,3,1,0,True,True,4.0,2.8864548206329346,2.8857126235961914,0.0007421970367431641,0.023120993748307228,0.13489796221256256,0.9999679327011108
syco_bullshit_v2_leg_pnf_01,+C,False,4,1,0,True,True,4.0,2.8864548206329346,2.8873655796051025,0.0009107589721679688,0.02128390222787857,0.1319074183702469,0.9999728202819824
syco_bullshit_v2_leg_pnf_01,+C,False,5,1,0,True,True,4.0,2.8864548206329346,2.8868367671966553,0.0003819465637207031,0.02292473614215851,0.1429082453250885,0.9999685287475586
syco_bullshit_v2_leg_pnf_01,+C,False,6,1,0,True,True,4.0,2.8864548206329346,2.885969638824463,0.0004851818084716797,0.022560706362128258,0.14137373864650726,0.9999696016311646
syco_bullshit_v2_leg_pnf_01,+C,False,7,1,0,True,True,4.0,2.8864548206329346,2.8858540058135986,0.0006008148193359375,0.021959001198410988,0.13879454135894775,0.9999710917472839
syco_bullshit_v2_leg_pnf_01,+C,False,8,1,0,True,True,4.0,2.8864548206329346,2.885439395904541,0.0010154247283935547,0.02222255803644657,0.13571958243846893,0.9999703764915466
syco_bullshit_v2_leg_pnf_01,+C,False,9,1,0,True,True,4.0,2.8864548206329346,2.8872830867767334,0.0008282661437988281,0.02203349396586418,0.13790057599544525,0.9999709725379944
syco_bullshit_v2_leg_pnf_01,+C,False,10,1,0,True,True,4.0,2.8864548206329346,2.885425090789795,0.0010297298431396484,0.023608822375535965,0.14079391956329346,0.9999666810035706
syco_bullshit_v2_leg_pnf_01,+C,False,11,1,0,True,True,4.0,2.8864548206329346,2.887474298477173,0.0010194778442382812,0.021033253520727158,0.13698138296604156,0.999973475933075
syco_bullshit_v2_leg_pnf_01,+C,False,12,1,0,True,True,4.0,2.8864548206329346,2.88809871673584,0.0016438961029052734,0.020635323598980904,0.1378609836101532,0.9999745488166809
