scenario,side,identity,call,sequence_length,position,nonfinal_exact,next_block_exact,signed_alpha,desired_norm,actual_norm,norm_error,rounding_error_norm,rounding_bound,direction_cosine
syco_bullshit_v2_leg_pnf_01,+C,False,0,55,54,True,True,4.0,2.8864550590515137,2.8862879276275635,0.0001671314239501953,0.019841333851218224,0.13064073026180267,0.999976396560669
syco_bullshit_v2_leg_pnf_01,+C,False,1,1,0,True,True,4.0,2.8864550590515137,2.8870604038238525,0.0006053447723388672,0.018658887594938278,0.12665556371212006,0.9999791979789734
syco_bullshit_v2_leg_pnf_01,+C,False,2,1,0,True,True,4.0,2.8864550590515137,2.8856470584869385,0.0008080005645751953,0.023000793531537056,0.14425501227378845,0.999968409538269
syco_bullshit_v2_leg_pnf_01,+C,False,3,1,0,True,True,4.0,2.8864550590515137,2.8865766525268555,0.00012159347534179688,0.02082187496125698,0.13489796221256256,0.9999740123748779
syco_bullshit_v2_leg_pnf_01,+C,False,4,1,0,True,True,4.0,2.8864550590515137,2.8850207328796387,0.001434326171875,0.022859245538711548,0.13935695588588715,0.9999688267707825
syco_bullshit_v2_leg_pnf_01,+C,False,5,1,0,True,True,4.0,2.8864550590515137,2.8853671550750732,0.0010879039764404297,0.021543854847550392,0.13529373705387115,0.9999722838401794
syco_bullshit_v2_leg_pnf_01,+C,False,6,1,0,True,True,4.0,2.8864550590515137,2.885307550430298,0.0011475086212158203,0.02107818052172661,0.141560360789299,0.999973475933075
syco_bullshit_v2_leg_pnf_01,+C,False,7,1,0,True,True,4.0,2.8864550590515137,2.886705160140991,0.00025010108947753906,0.021736541762948036,0.14081667363643646,0.9999716281890869
syco_bullshit_v2_leg_pnf_01,+C,False,8,1,0,True,True,4.0,2.8864550590515137,2.886295795440674,0.00015926361083984375,0.024280941113829613,0.1484687179327011,0.999964714050293
syco_bullshit_v2_leg_pnf_01,+C,False,9,1,0,True,True,4.0,2.8864550590515137,2.8868861198425293,0.000431060791015625,0.02073720470070839,0.13635027408599854,0.999974250793457
syco_bullshit_v2_leg_pnf_01,+C,False,10,1,0,True,True,4.0,2.8864550590515137,2.88693904876709,0.0004839897155761719,0.02041618712246418,0.1353006511926651,0.9999749660491943
syco_bullshit_v2_leg_pnf_01,+C,False,11,1,0,True,True,4.0,2.8864550590515137,2.8858895301818848,0.0005655288696289062,0.02134513296186924,0.13048550486564636,0.9999727010726929
syco_bullshit_v2_leg_pnf_01,+C,False,12,1,0,True,True,4.0,2.8864550590515137,2.886115550994873,0.000339508056640625,0.02265814132988453,0.14160440862178802,0.9999691247940063
syco_bullshit_v2_leg_pnf_01,+C,False,13,1,0,True,True,4.0,2.8864550590515137,2.8865668773651123,0.00011181831359863281,0.024516958743333817,0.14583773910999298,0.9999639391899109
syco_bullshit_v2_leg_pnf_01,+C,False,14,1,0,True,True,4.0,2.8864550590515137,2.8857498168945312,0.0007052421569824219,0.019236953929066658,0.1288052350282669,0.9999778270721436
syco_bullshit_v2_leg_pnf_01,+C,False,15,1,0,True,True,4.0,2.8864550590515137,2.886279582977295,0.00017547607421875,0.021959982812404633,0.1468367725610733,0.9999710917472839
syco_bullshit_v2_leg_pnf_01,+C,False,16,1,0,True,True,4.0,2.8864550590515137,2.8864574432373047,2.384185791015625e-06,0.019783372059464455,0.12688429653644562,0.9999765157699585
syco_bullshit_v2_leg_pnf_01,+C,False,17,1,0,True,True,4.0,2.8864550590515137,2.8863260746002197,0.0001289844512939453,0.021576382219791412,0.1434008926153183,0.9999721646308899
syco_bullshit_v2_leg_pnf_01,+C,False,18,1,0,True,True,4.0,2.8864550590515137,2.886791706085205,0.00033664703369140625,0.022570785135030746,0.1394379734992981,0.999969482421875
syco_bullshit_v2_leg_pnf_01,+C,False,19,1,0,True,True,4.0,2.8864550590515137,2.8866775035858154,0.0002224445343017578,0.02115817368030548,0.13567380607128143,0.9999731779098511
syco_bullshit_v2_leg_pnf_01,+C,False,20,1,0,True,True,4.0,2.8864550590515137,2.8864448070526123,1.0251998901367188e-05,0.018543146550655365,0.13026949763298035,0.9999793767929077
syco_bullshit_v2_leg_pnf_01,+C,False,21,1,0,True,True,4.0,2.8864550590515137,2.8871588706970215,0.0007038116455078125,0.01926554925739765,0.13395355641841888,0.999977707862854
syco_bullshit_v2_leg_pnf_01,+C,False,22,1,0,True,True,4.0,2.8864550590515137,2.886592388153076,0.0001373291015625,0.022758623585104942,0.14784488081932068,0.999968945980072
syco_bullshit_v2_leg_pnf_01,+C,False,23,1,0,True,True,4.0,2.8864550590515137,2.8869287967681885,0.0004737377166748047,0.019749989733099937,0.13284893333911896,0.999976634979248
syco_bullshit_v2_leg_pnf_01,+C,False,24,1,0,True,True,4.0,2.8864550590515137,2.8864383697509766,1.6689300537109375e-05,0.02297171764075756,0.15040533244609833,0.999968409538269
syco_bullshit_v2_leg_pnf_01,+C,False,25,1,0,True,True,4.0,2.8864550590515137,2.8865771293640137,0.0001220703125,0.023069676011800766,0.146615669131279,0.9999680519104004
syco_bullshit_v2_leg_pnf_01,+C,False,26,1,0,True,True,4.0,2.8864550590515137,2.886516571044922,6.151199340820312e-05,0.02131691947579384,0.14265434443950653,0.9999727010726929
syco_bullshit_v2_leg_pnf_01,+C,False,27,1,0,True,True,4.0,2.8864550590515137,2.8870818614959717,0.0006268024444580078,0.022765375673770905,0.14180661737918854,0.9999690055847168
syco_bullshit_v2_leg_pnf_01,+C,False,28,1,0,True,True,4.0,2.8864550590515137,2.8868353366851807,0.0003802776336669922,0.024649642407894135,0.14297831058502197,0.999963641166687
syco_bullshit_v2_leg_pnf_01,+C,False,29,1,0,True,True,4.0,2.8864550590515137,2.8869552612304688,0.0005002021789550781,0.021663986146450043,0.13933022320270538,0.999971866607666
syco_bullshit_v2_leg_pnf_01,+C,False,30,1,0,True,True,4.0,2.8864550590515137,2.8863251209259033,0.00012993812561035156,0.019837019965052605,0.13153591752052307,0.999976396560669
syco_bullshit_v2_leg_pnf_01,+C,False,31,1,0,True,True,4.0,2.8864550590515137,2.88631010055542,0.00014495849609375,0.02130144275724888,0.1424114853143692,0.9999727606773376
syco_bullshit_v2_leg_pnf_01,+C,False,32,1,0,True,True,4.0,2.8864550590515137,2.8872458934783936,0.0007908344268798828,0.021478284150362015,0.1376791149377823,0.9999723434448242
syco_bullshit_v2_leg_pnf_01,+C,False,33,1,0,True,True,4.0,2.8864550590515137,2.8855347633361816,0.0009202957153320312,0.022956881672143936,0.14358599483966827,0.999968409538269
syco_bullshit_v2_leg_pnf_01,+C,False,34,1,0,True,True,4.0,2.8864550590515137,2.885974884033203,0.0004801750183105469,0.023553216829895973,0.1437518447637558,0.9999667406082153
syco_bullshit_v2_leg_pnf_01,+C,False,35,1,0,True,True,4.0,2.8864550590515137,2.886610984802246,0.00015592575073242188,0.023664791136980057,0.14269395172595978,0.9999663829803467
syco_bullshit_v2_leg_pnf_01,+C,False,36,1,0,True,True,4.0,2.8864550590515137,2.8877363204956055,0.0012812614440917969,0.024998314678668976,0.1428719013929367,0.9999626874923706
syco_bullshit_v2_leg_pnf_01,+C,False,37,1,0,True,True,4.0,2.8864550590515137,2.8861401081085205,0.00031495094299316406,0.020715396851301193,0.1379445195198059,0.9999743103981018
syco_bullshit_v2_leg_pnf_01,+C,False,38,1,0,True,True,4.0,2.8864550590515137,2.886845588684082,0.0003905296325683594,0.01962844282388687,0.13291628658771515,0.9999769330024719
syco_bullshit_v2_leg_pnf_01,+C,False,39,1,0,True,True,4.0,2.8864550590515137,2.8860976696014404,0.0003573894500732422,0.02017134428024292,0.13536079227924347,0.9999755024909973
syco_bullshit_v2_leg_pnf_01,+C,False,40,1,0,True,True,4.0,2.8864550590515137,2.886880397796631,0.0004253387451171875,0.022279513999819756,0.13920949399471283,0.9999703168869019
