scenario,arm,actual_norm,ideal_norm,rounding_error,rounding_bound,coordinate_before,coordinate_after,ideal_coordinate,max_abs_logit_change,kl_from_donor
syco_bullshit_v2_leg_pnf_01,unpatched,0.0,0.0,0.0,0.08047144713130439,0.2637564210906282,0.2637564210906282,0.2637564210906282,0.0,0.0
syco_bullshit_v2_leg_pnf_01,neither,6.794175949722036,6.794175949722036,0.0,0.08555912974214736,0.2637564210906282,0.24113869060518534,0.24113869060518534,8.4892578125,2.473031520843506
syco_bullshit_v2_leg_pnf_01,parallel,6.793693171128511,6.794138302540582,0.012612473892445204,0.0855632037927459,0.2637564210906282,0.2605064629340883,0.263756421090628,8.4892578125,2.471687078475952
syco_bullshit_v2_leg_pnf_01,complement,0.02325792333562651,0.022617730485442734,0.012617660236233735,0.08046711522051221,0.2637564210906282,0.244008918551947,0.2411386906051854,0.09375,3.980725887231529e-05
syco_bullshit_v2_leg_pnf_01,both,0.0,0.0,0.0,0.08047144713130439,0.2637564210906282,0.2637564210906282,0.2637564210906282,0.0,0.0
syco_bullshit_v2_sw_pnf_02,unpatched,0.0,0.0,0.0,0.08253775729387691,0.35532309262290157,0.35532309262290157,0.35532309262290157,0.0,0.0
syco_bullshit_v2_sw_pnf_02,neither,5.585525991756065,5.585525991756065,0.0,0.08634405778901691,0.35532309262290157,0.2885251460255685,0.2885251460255685,3.1875,0.1386599838733673
syco_bullshit_v2_sw_pnf_02,parallel,5.585079881768333,5.585126555317521,0.016888970593960773,0.08635926080219217,0.35532309262290157,0.3550229486568688,0.35532309262290135,3.1875,0.1105441078543663
syco_bullshit_v2_sw_pnf_02,complement,0.0682708250500153,0.06679794659733287,0.016312935821407092,0.08252185007164396,0.35532309262290157,0.2890279458506037,0.28852514602556883,0.125,0.0007180647808127105
syco_bullshit_v2_sw_pnf_02,both,0.0,0.0,0.0,0.08253775729387691,0.35532309262290157,0.35532309262290157,0.35532309262290157,0.0,0.0
syco_bullshit_v2_sw_pnf_03,unpatched,0.0,0.0,0.0,0.08032756323464306,0.17802158337437055,0.17802158337437055,0.17802158337437055,0.0,0.0
syco_bullshit_v2_sw_pnf_03,neither,5.324367011690832,5.324367011690832,0.0,0.08335372230701749,0.17802158337437055,0.06432755289626654,0.06432755289626654,3.4453125,0.40648749470710754
syco_bullshit_v2_sw_pnf_03,parallel,5.323697812367966,5.323152988841781,0.01604715376736094,0.08336381209419177,0.17802158337437055,0.17768632388820133,0.17802158337437046,3.4140625,0.40482115745544434
syco_bullshit_v2_sw_pnf_03,complement,0.11439335385918974,0.11369403047810392,0.015108027596760068,0.08031709192651909,0.17802158337437055,0.06462988036578099,0.06432755289626693,0.125,0.000201475340873003
syco_bullshit_v2_sw_pnf_03,both,0.0,0.0,0.0,0.08032756323464306,0.17802158337437055,0.17802158337437055,0.17802158337437055,0.0,0.0
