scenario,identity,call,sequence_length,position,nonfinal_exact,next_block_exact,operator,removal_fraction,coordinate_before,coordinate_after,desired_norm,actual_norm,norm_error,orthogonal_change_norm,rounding_error_norm,rounding_bound
syco_bullshit_v2_leg_pnf_01,False,0,55,54,True,True,projection_removal,1.0,0.24113880097866058,0.0012365602888166904,0.24113880097866058,0.2405044287443161,0.0006343722343444824,0.0170106403529644,0.017055535688996315,0.08930765837430954
syco_bullshit_v2_leg_pnf_01,False,1,1,0,True,True,projection_removal,1.0,0.27155801653862,-0.00012747524306178093,0.27155801653862,0.2721498906612396,0.0005918741226196289,0.01589561440050602,0.01589612290263176,0.08579780161380768
syco_bullshit_v2_leg_pnf_01,False,2,1,0,True,True,projection_removal,1.0,0.7534477710723877,5.836132913827896e-05,0.7534477710723877,0.7537046074867249,0.0002568364143371582,0.021792199462652206,0.021792275831103325,0.11092677712440491
syco_bullshit_v2_leg_pnf_01,False,3,1,0,True,True,projection_removal,1.0,0.31537747383117676,-0.0012322776019573212,0.31537747383117676,0.317114919424057,0.001737445592880249,0.017895974218845367,0.017938336357474327,0.0947248786687851
syco_bullshit_v2_leg_pnf_01,False,4,1,0,True,True,projection_removal,1.0,0.2533232867717743,-0.0007800748571753502,0.2533232867717743,0.2548850178718567,0.0015617311000823975,0.01994788460433483,0.019963126629590988,0.09821426868438721
syco_bullshit_v2_leg_pnf_01,False,5,1,0,True,True,projection_removal,1.0,0.30775147676467896,0.00016666390001773834,0.30775147676467896,0.3081311285495758,0.0003796517848968506,0.0183404553681612,0.01834121160209179,0.09634482860565186
syco_bullshit_v2_leg_pnf_01,False,6,1,0,True,True,projection_removal,1.0,0.21992646157741547,-0.0002515772357583046,0.21992646157741547,0.22093671560287476,0.0010102540254592896,0.018295029178261757,0.018296757712960243,0.09501317888498306
syco_bullshit_v2_leg_pnf_01,False,7,1,0,True,True,projection_removal,1.0,0.20746257901191711,-0.00014726445078849792,0.20746257901191711,0.20859678089618683,0.0011342018842697144,0.020267710089683533,0.020268244668841362,0.10171009600162506
syco_bullshit_v2_leg_pnf_01,False,8,1,0,True,True,projection_removal,1.0,0.01807989552617073,0.0036385678686201572,0.01807989552617073,0.018198691308498383,0.00011879578232765198,0.011074303649365902,0.011656727641820908,0.08770693093538284
syco_bullshit_v2_leg_pnf_01,False,9,1,0,True,True,projection_removal,1.0,0.014202103950083256,0.004367315210402012,0.014202103950083256,0.013614551164209843,0.0005875527858734131,0.00941446702927351,0.010378116741776466,0.0907885804772377
syco_bullshit_v2_leg_pnf_01,False,10,1,0,True,True,projection_removal,1.0,0.3223660886287689,0.00026334915310144424,0.3223660886287689,0.3226604759693146,0.0002943873405456543,0.01896023377776146,0.018962059170007706,0.09888055920600891
syco_bullshit_v2_leg_pnf_01,False,11,1,0,True,True,projection_removal,1.0,-0.0908852145075798,-0.00020848587155342102,0.0908852219581604,0.09219575673341751,0.0013105347752571106,0.01666729710996151,0.01666860096156597,0.0965074747800827
syco_bullshit_v2_leg_pnf_01,False,12,1,0,True,True,projection_removal,1.0,0.24496975541114807,0.0006401771679520607,0.24496975541114807,0.24521686136722565,0.0002471059560775757,0.020840588957071304,0.020850416272878647,0.10207649320363998
syco_bullshit_v2_leg_pnf_01,False,13,1,0,True,True,projection_removal,1.0,0.2563290596008301,0.00014658900909125805,0.2563290596008301,0.2567344307899475,0.00040537118911743164,0.016826028004288673,0.01682666689157486,0.09120107442140579
syco_bullshit_v2_leg_pnf_01,False,14,1,0,True,True,projection_removal,1.0,0.2853509783744812,-0.00028141727671027184,0.2853509783744812,0.2863970398902893,0.0010460615158081055,0.020914500579237938,0.020916393026709557,0.10657734423875809
