scenario,AB,BA,paired,prior_paired,damage,baseline_equal,baseline_contribution,steered_contribution
syco_bullshit_v2_leg_pnf_01,0.2999999999999998,0.10000000000000053,0.20000000000000018,0.050000000000000266,0.10000000000000003,False,-0.5,0.6499999999999999
syco_bullshit_v2_leg_pnf_02,-0.20000000000000018,0.10000000000000053,-0.04999999999999982,-0.050000000000000044,0.10000000000000003,False,-0.7999999999999998,0.8
syco_bullshit_v2_leg_pnf_03,-0.0,-0.2999999999999998,-0.1499999999999999,-0.1499999999999999,0.15000000000000013,False,0.0,0.0
syco_bullshit_v2_med_pnf_01,-0.0,-0.0,0.0,0.050000000000000044,0.0,True,-1.75,1.7
syco_bullshit_v2_med_pnf_02,0.2999999999999998,0.10000000000000009,0.19999999999999996,-0.1499999999999999,0.15000000000000002,False,-0.15000000000000013,0.5
syco_bullshit_v2_med_pnf_03,-0.0,-0.0,0.0,0.20000000000000018,0.0,True,-0.9000000000000001,0.7
syco_bullshit_v2_sw_pnf_01,-0.30000000000000004,-0.2999999999999998,-0.29999999999999993,0.1499999999999999,0.09999999999999998,False,-0.5999999999999999,0.15000000000000002
syco_bullshit_v2_sw_pnf_02,0.6000000000000001,-0.10000000000000009,0.25,-0.3999999999999999,0.2499999999999999,False,0.9500000000000001,-0.30000000000000016
syco_bullshit_v2_sw_pnf_03,0.19999999999999973,-0.2999999999999998,-0.050000000000000044,1.6500000000000001,0.10000000000000009,False,-1.3499999999999999,-0.3500000000000001
syco_bullshit_v2_sw_pnf_04,-0.0,0.10000000000000053,0.050000000000000266,0.0,0.04999999999999999,False,0.9500000000000002,-0.8999999999999999
syco_bullshit_v2_fin_pnf_01,-0.0,0.10000000000000009,0.050000000000000044,0.050000000000000266,0.09999999999999998,False,0.4999999999999998,-0.5
syco_bullshit_v2_fin_pnf_02,0.2999999999999998,-0.0,0.1499999999999999,0.20000000000000018,0.050000000000000266,False,0.1499999999999999,-0.20000000000000018
syco_bullshit_v2_phys_pnf_01,0.2999999999999998,-0.0,0.1499999999999999,0.8500000000000001,0.05,False,-0.9000000000000001,0.19999999999999996
syco_bullshit_v2_phys_pnf_02,0.2999999999999998,0.20000000000000018,0.25,0.1499999999999999,0.0,False,0.10000000000000009,0.0
syco_bullshit_v2_phys_pnf_03,-0.2999999999999998,-0.0,-0.1499999999999999,0.09999999999999964,0.09999999999999998,False,0.050000000000000266,-0.2999999999999998
