projection	layer	positive_norm	negative_norm	positive_split_cos	negative_split_cos	component_cos	condition	heldout_positive_order	heldout_negative_order	dev_plus_eligible	dev_minus_eligible
full_residual	13	5.146275997161865	4.2525224685668945	0.9836761951446533	0.9807884693145752	0.5089988112449646	1.753085732460022	13	13	0.5596330165863037	0.4403669536113739
full_residual	14	5.265214920043945	4.176444053649902	0.9839038848876953	0.9785306453704834	0.5596384406089783	1.8819464445114136	13	13	0.1488277167081833	0.8511722087860107
full_residual	15	7.225698471069336	5.815188884735107	0.9875114560127258	0.983080267906189	0.3996669054031372	1.5269197225570679	13	13	0.9327216744422913	0.06727828085422516
full_residual	16	8.432048797607422	6.607268810272217	0.9873408079147339	0.9819849729537964	0.30367404222488403	1.3682903051376343	13	13	0.9724770188331604	0.02752293460071087
full_residual	17	9.022822380065918	7.293735980987549	0.9871971011161804	0.9833998680114746	0.2578625977039337	1.30189049243927	13	13	0.9724770188331604	0.02752293460071087
full_residual	18	9.563858985900879	8.552371978759766	0.9830357432365417	0.9839071035385132	0.1972411572933197	1.2212321758270264	13	13	0.2181447446346283	0.7818552255630493
full_residual	19	10.978598594665527	10.166646957397461	0.9734865427017212	0.9730430841445923	0.1942223757505417	1.2174047231674194	13	13	0.9979612231254578	0.0020387358963489532
full_residual	20	12.106684684753418	11.195371627807617	0.9717494249343872	0.9714564085006714	0.1539171040058136	1.1678333282470703	13	13	0.9989805817604065	0.0010193679481744766
full_residual	21	13.778216361999512	13.256892204284668	0.9718040227890015	0.9690107107162476	0.14506709575653076	1.1573090553283691	13	13	0.9847094416618347	0.01529051922261715
SOURCE_MATCH_PASS unique=65 fit=52 holdout=13 prompts_identical_to_v15=true suffix_identical=true
HASHES plus=1cb043932c0ddd676d1953ef5368fe9744f6878ed002f6c46cb730d9df4cc401 minus=313bf2a731baf804129cf4036d1321abe915b1abbb6e59870901c658779ce3a5 source=f9391d9b58dec7a97f5bbafda4a95b26bfb80a898e9065456a0b88ef1949a839
AGGREGATE_ELIGIBILITY side=+C all_positions=6657/8829 fraction=0.753993 final_positions=135/135
AGGREGATE_ELIGIBILITY side=-C all_positions=2172/8829 fraction=0.246007 final_positions=0/135
