side	alpha	logit_norm	kl	changed_outputs	eligible	total	final_eligible	final_total	changed_positions	changed_final	patch_median	patch_p95	abs_coord_resid_median	abs_coord_resid_p95	rel_coord_err_median	rel_coord_err_p95	health
+C	0.0	0.0	0.0	0	6657	8829	135	135	0	0	0.0	0.0	0.0	0.0	0.0	0.0	none
+C	0.25	246.24200439453125	0.23005619645118713	14	6354	8829	134	135	6354	134	0.15288382768630981	0.5837625861167908	0.0013614669442176819	0.004510349128395319	0.004159726668149233	0.03887678682804108	none
+C	0.5	318.6017150878906	0.43801769614219666	15	5870	8829	114	135	5870	114	0.17675544321537018	0.9111883640289307	0.0010667764581739902	0.004448325373232365	0.0022637860383838415	0.03729919344186783	none
+C	0.75	364.2063293457031	0.6063605546951294	15	5015	8829	83	135	5015	83	0.09076733142137527	1.285136103630066	0.0006139699253253639	0.0043484363704919815	0.0009158568573184311	0.03208818659186363	none
+C	1.0	423.97918701171875	0.8604977130889893	15	4243	8829	49	135	4243	49	0.0	1.6434203386306763	0.0	0.004126282408833504	0.0	0.02281973883509636	none
+C	1.25	488.8468322753906	1.1891238689422607	15	3700	8829	32	135	3700	32	0.0	1.9497113227844238	0.0	0.003846443025395274	0.0	0.013405334204435349	none
+C	1.5	531.1647338867188	1.4366403818130493	15	3335	8829	30	135	3335	30	0.0	2.2310547828674316	0.0	0.003736302023753524	0.0	0.010264107026159763	none
+C	2.0	578.2428588867188	1.7216979265213013	15	2894	8829	30	135	2894	30	0.0	2.7549054622650146	0.0	0.0036294343881309032	0.0	0.005303108133375645	none
-C	0.0	0.0	0.0	0	2172	8829	0	135	0	0	0.0	0.0	0.0	0.0	0.0	0.0	none
-C	0.25	27.973154067993164	0.0028207087889313698	7	1955	8829	0	135	1955	0	0.0	0.2927396893501282	0.0	0.002262470778077841	0.0	0.01180626917630434	none
-C	0.5	47.82200241088867	0.007291027344763279	9	1799	8829	0	135	1799	0	0.0	0.5554540753364563	0.0	0.0015595657750964165	0.0	0.005826768931001425	none
-C	0.75	65.36962127685547	0.012789889238774776	11	1644	8829	0	135	1644	0	0.0	0.78944993019104	0.0	0.0017102726269513369	0.0	0.0031147662084549665	none
-C	1.0	83.62350463867188	0.02154514193534851	10	1517	8829	0	135	1517	0	0.0	0.9845888018608093	0.0	0.0016214802162721753	0.0	0.0018478208221495152	none
-C	1.25	99.44719696044922	0.028478305786848068	11	1411	8829	0	135	1411	0	0.0	1.1534069776535034	0.0	0.0015851970529183745	0.0	0.0014944430440664291	none
-C	1.5	115.12986755371094	0.03958768770098686	11	1374	8829	0	135	1374	0	0.0	1.3183856010437012	0.0	0.0015118204755708575	0.0	0.0012178902979940176	none
-C	2.0	144.4705810546875	0.06107620894908905	12	1323	8829	0	135	1323	0	0.0	1.6318548917770386	0.0	0.0015108685474842787	0.0	0.000975217146333307	none
ZERO_TEXT_DIFFERENCES 0
