side	alpha	active_count	patch_median_active	patch_p95_active	abs_resid_median_active	abs_resid_p95_active	rel_err_median_active	rel_err_p95_active
+C	0.0	0	0	0	0	0	0	0
+C	0.25	6354	0.2434224858880043	0.6334835886955261	0.0021138679003342986	0.004751264583319426	0.007274863542988896	0.06044861301779747
+C	0.5	5870	0.3395145982503891	1.0752202272415161	0.0020721384789794683	0.004921083338558674	0.004892136435955763	0.06972022354602814
+C	0.75	5015	0.4098207950592041	1.5872740745544434	0.0019592109601944685	0.005035164300352335	0.0036200876347720623	0.06412985175848007
+C	1.0	4243	0.4834116995334625	2.1174004077911377	0.001864481484517455	0.00485618319362402	0.0028415049891918898	0.05308004096150398
+C	1.25	3700	0.5964064300060272	2.603057861328125	0.0018428530311211944	0.004620512947440147	0.0022786196786910295	0.04083382338285446
+C	1.5	3335	0.7084779143333435	3.179842472076416	0.0017728384118527174	0.004630114417523146	0.0018553546397015452	0.033009450882673264
+C	2.0	2894	0.9363136291503906	4.2795090675354	0.0017403531237505376	0.0047047920525074005	0.0013553854078054428	0.027810314670205116
-C	0.0	0	0	0	0	0	0	0
-C	0.25	1955	0.18235933780670166	0.4006236493587494	0.0015302794054150581	0.003856438910588622	0.005292122717946768	0.2345764935016632
-C	0.5	1799	0.3218963146209717	0.7572551369667053	0.001034841756336391	0.002829186385497451	0.002337487880140543	0.07134465128183365
-C	0.75	1644	0.4959366023540497	1.0537867546081543	0.0010324196773581207	0.002716013230383396	0.0015426904428750277	0.03735651820898056
-C	1.0	1517	0.6765694618225098	1.362621545791626	0.0010597921209409833	0.002762443386018276	0.0011957624228671193	0.03841682896018028
-C	1.25	1411	0.8598469495773315	1.6640369892120361	0.0010685358429327607	0.002740928204730153	0.0009937611175701022	0.012380270287394524
-C	1.5	1374	0.96261927485466	1.9397045373916626	0.001036112429574132	0.002675867173820734	0.0008271441329270601	0.012941813096404076
-C	2.0	1323	1.104441523551941	2.5712318420410156	0.0010170988971367478	0.002601446583867073	0.0006927612121216953	0.006789763458073139
