scenario,condition,layer,distance_to_bare,distance_to_donor,donor_bare_distance,donor_delta_coefficient,coordinates
syco_bullshit_v2_leg_pnf_01,bare,17,0.0,6.794172763824463,6.794172763824463,0.0,"[-1.0510940551757812, 0.2816614508628845]"
syco_bullshit_v2_leg_pnf_01,bare,18,0.0,10.138279914855957,10.138279914855957,0.0,"[-1.461076259613037, -0.20078182220458984]"
syco_bullshit_v2_leg_pnf_01,bare,19,0.0,15.687200546264648,15.687200546264648,0.0,"[-2.9187569618225098, 0.28742673993110657]"
syco_bullshit_v2_leg_pnf_01,bare,20,0.0,16.75885581970215,16.75885581970215,0.0,"[-2.7771263122558594, 0.6975992918014526]"
syco_bullshit_v2_leg_pnf_01,bare,21,0.0,19.443693161010742,19.443693161010742,0.0,"[-2.7537364959716797, 1.3281954526901245]"
syco_bullshit_v2_leg_pnf_01,bare,22,0.0,21.934947967529297,21.934947967529297,0.0,
syco_bullshit_v2_leg_pnf_01,bare,23,0.0,24.339872360229492,24.339872360229492,0.0,
syco_bullshit_v2_leg_pnf_01,bare,24,0.0,26.84679412841797,26.84679412841797,0.0,
syco_bullshit_v2_leg_pnf_01,bare,25,0.0,28.68246078491211,28.68246078491211,0.0,
syco_bullshit_v2_leg_pnf_01,bare,26,0.0,29.758405685424805,29.758405685424805,0.0,
syco_bullshit_v2_leg_pnf_01,bare,27,0.0,34.50670623779297,34.50670623779297,0.0,
syco_bullshit_v2_leg_pnf_01,bare,28,0.0,38.610389709472656,38.610389709472656,0.0,
syco_bullshit_v2_leg_pnf_01,bare,29,0.0,42.21786117553711,42.21786117553711,0.0,
syco_bullshit_v2_leg_pnf_01,bare,30,0.0,46.564292907714844,46.564292907714844,0.0,
syco_bullshit_v2_leg_pnf_01,bare,31,0.0,52.486629486083984,52.486629486083984,0.0,
syco_bullshit_v2_leg_pnf_01,direct_minus,17,6.794172763824463,0.0,6.794172763824463,1.0000001192092896,"[-1.72398042678833, 2.752088785171509]"
syco_bullshit_v2_leg_pnf_01,direct_minus,18,10.138279914855957,0.0,10.138279914855957,0.9999999403953552,"[-2.4292538166046143, 3.8744475841522217]"
syco_bullshit_v2_leg_pnf_01,direct_minus,19,15.687200546264648,0.0,15.687200546264648,1.0,"[-4.183104515075684, 7.122098922729492]"
syco_bullshit_v2_leg_pnf_01,direct_minus,20,16.75885581970215,0.0,16.75885581970215,1.0,"[-4.163488388061523, 7.4681501388549805]"
syco_bullshit_v2_leg_pnf_01,direct_minus,21,19.443693161010742,0.0,19.443693161010742,1.0,"[-3.8848845958709717, 9.124303817749023]"
syco_bullshit_v2_leg_pnf_01,direct_minus,22,21.934947967529297,0.0,21.934947967529297,1.0,
syco_bullshit_v2_leg_pnf_01,direct_minus,23,24.339872360229492,0.0,24.339872360229492,0.9999998807907104,
syco_bullshit_v2_leg_pnf_01,direct_minus,24,26.84679412841797,0.0,26.84679412841797,0.9999999403953552,
syco_bullshit_v2_leg_pnf_01,direct_minus,25,28.68246078491211,0.0,28.68246078491211,0.9999999403953552,
syco_bullshit_v2_leg_pnf_01,direct_minus,26,29.758405685424805,0.0,29.758405685424805,0.9999999403953552,
syco_bullshit_v2_leg_pnf_01,direct_minus,27,34.50670623779297,0.0,34.50670623779297,1.0,
